4,4-diCl-BZT 	7.69	1	CN1C2CCC1CC(OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)C2 
AA-A4T 	6.54	1	CN1[C@H]2CC[C@@H]1C[C@H](OCCOC(c1ccccc1)c1ccccc1)C2 
AHN1-055 	8.05	1	CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
AHN1-056 	7.1	1	COc1ccc(C(OC2CC3CCC(C2)N3C)c2ccccc2)cc1 
AHN1-063 	6.06	1	CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2 
AHN2-003 	7.95	1	Fc1ccc(C(OC2CC3CCC(C2)N3)c2ccc(F)cc2)cc1 
AHN2-005 	8.05	1	C=CCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
AHN2-006 	7.06	1	Fc1ccc(C(OC2CC3CCC(C2)N3C/C=C/c2ccccc2)c2ccc(F)cc2)cc1 
AHN2-009 	7.49	1	CN1C2CCC1CC(OC(c1ccccc1)c1ccc(F)cc1)C2 
AHN2-016 	7.3	1	CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1F)C2 
AHN2-017 	7.67	1	CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)c(Cl)c1)C2 
AHN2-018 	7.72	1	CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(Cl)c(Cl)c1)C2 
AHN2-020 	6.7	1	CN1C2CCC1CC(OC(c1ccccc1)c1ccc(C#N)cc1)C2 
AHN2-021 	6.7	1	CN1C2CCC1CC(OC(c1ccccc1)c1ccc([N+](=O)[O-])cc1)C2 
AN011 	7.03	1	CN1C2CCC1CC(OC(c1ccc(Br)cc1)c1ccc(Br)cc1)C2 
AN012 	7.42	1	CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Br)cc1)C2 
Benztropine 	6.92	1	CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2 
Cocaine 	6.72	1	CC1C2CCC(C[C@@H]1OC(=O)Oc1ccccc1)N2C 
DEPTROP 	6.4	1	CN1C2CCC1CC(OC1c3ccccc3CCc3ccccc31)C2 
GA1-103 	8.07	1	Fc1ccc(C(OC2CC3CCC(C2)N3CCCCc2ccccc2)c2ccc(F)cc2)cc1 
GA1-104 	7.24	1	O=[N+]([O-])c1ccc(C(OCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)c2ccccc2)cc1 
GA1-106 	7.69	1	O=[N+]([O-])c1ccc(CCCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1 
GA1-120 	7.21	1	Fc1ccc(CCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1 
GA1-189 	7.48	1	CN1C2CCC1CC(OC(c1ccc(Cl)cc1)c1cccc(Cl)c1)C2 
GA1-67 	6.19	1	Fc1ccc(C(OCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)c2ccc(F)cc2)cc1 
GA1-69 	7.35	1	Fc1ccc(C(OC2CC3CCC(C2)N3CCc2c[nH]c3ccccc23)c2ccc(F)cc2)cc1 
GA2-34 	6.79	1	[N-]=[N+]=Nc1ccc(CCCCN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1I 
GA2-38 	6.32	1	CC(CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2)c1ccccc1 
GA2-50 	7.87	1	CC(N)CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
GA2-52 	6.4	1	Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccc(Cl)c(Cl)c2)c2ccc(F)cc2)cc1 
GA2-53 	6.43	1	Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccc3ccccc3c2)c2ccc(F)cc2)cc1 
GA2-60 	6.39	1	CCC(CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2)c1ccccc1 
GA2-8 	7.49	1	C=CCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
GA2-95 	7.53	1	CC(C)C(N)CN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
GA2-99 	7.85	1	NCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
GBR12909 	7.92	1	Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1 
IMH011 	7.2	1	Clc1ccc(C(OC2CC3CCC(C2)N3)c2ccc(Cl)cc2)cc1 
IMH022 	7.26	1	C=CCN1C2CCC1CC(OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)C2 
IMH023 	7.47	1	C=CCN1C2CCC1CC(OC(c1ccccc1)c1cccc(Cl)c1)C2 
IMH028 	7.07	1	Clc1ccc(C(OC2CC3CCC(C2)N3CCCCc2ccccc2)c2ccc(Cl)cc2)cc1 
JHC1053 	7.56	1	CCN(CC)c1ccc2c(c1)OC1=CC([NH+](CC)CC)C=CC1=C2c1ccc(S(=O)(=O)NCCCCCC(=O)NCCOC(=O)[C@@H]2C3CCC(C[C@@H]2c2ccc(Cl)c(Cl)c2)N3C)cc1S(=O)(=O)O 
JHC1064 	7.74	1	CCN(CC)c1ccc2c(c1)OC1=CC(C)C=CC1=C2c1ccc(S(=O)(=O)NCCCCCC(=O)NCN2C3CCC2CC(c2ccc(Cl)c(Cl)c2)C3)cc1S(=O)(=O)O 
JHC2-043 	9.37	1	COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(-c3ccc(Br)cc3)cc1)N2C 
JHC2-045 	8.29	1	COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(-c3ccc([N+](=O)[O-])cc3)cc1)N2C 
JHC2-046 	7.88	1	COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(-c3ccc(N)cc3)cc1)N2C 
JHC2-047 	8.05	1	COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(-c3ccc(N)c(I)c3)cc1)N2C 
JHC2-048 	7.82	1	COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(-c3ccc(N=[N+]=[N-])c(I)c3)cc1)N2C 
JHW005 	7.08	1	Fc1ccc(C(OC2CC3CCC(C2)N3Cc2ccccc2)c2ccc(F)cc2)cc1 
JHW007 	7.99	1	CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
JHW009 	7.01	1	Fc1ccc(CN2C3CCC2CC(OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1 
JHW010 	7.37	1	Fc1ccc(C(OC2CC3CCC(C2)N3CCCc2ccccc2)c2ccc(F)cc2)cc1 
JHW013 	7.6	1	Fc1ccc(C(OC2CC3CCC(C2)N3CC2CC2)c2ccc(F)cc2)cc1 
JHW025 	6.96	1	C[N+]1(C)C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
JHW084 	7.58	1	Clc1cccc(C(OC2CC3CCC(C2)N3)c2ccccc2)c1 
JJC1-038 	6.58	1	CC1CN(CCCN(c2ccccc2)c2ccccc2)CC(C)N1CCc1ccc(Cl)c(Cl)c1 
JJC1-045 	7.07	1	CC1CN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC(C)N1 
JJC1-051 	7.58	1	[N-]=[N+]=Nc1ccc(CCN)cc1 
JJC1-057 	6.88	1	CC1CN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC(C)N1CCc1ccc(Cl)c(Cl)c1 
JJC1-059 	7.75	1	CC1CN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC(C)N1CCCc1ccccc1 
JJC2-004 	7.21	1	Fc1ccc(N(CCCN2CCNCC2)c2ccc(F)cc2)cc1 
JJC2-006 	7.56	1	Fc1ccc(N(CCCN2CCN(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1 
JJC2-008 	7.74	1	Fc1ccc(N(CCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1 
JJC2-010 	8.07	1	OC(CCN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1 
JJC3-013 	6.61	1	Cc1ccc(CN2CCN(CCCN(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1I 
JJC3-024 	6.78	1	[N-]=[N+]=Nc1ccc(CCN2CCN(CCCN(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1I 
JJC3-031 	6.54	1	[N-]=[N+]=Nc1ccc(CCCN2CCN(CCCN(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1I 
JJC3-032 	7.12	1	N#CSc1ccc(CN2CCN(CCCN(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1 
JJC3-033 	7.16	1	N#CSc1ccc(CCN2CCN(CCCN(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1 
JJC3-034 	7.0	1	N#CSc1ccc(CCCN2CCN(CCCN(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1 
JJC3-035 	7.18	1	N#CSc1ccc(CCN2CCN(CCCN(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1I 
JJC3-036 	7.01	1	N#CSc1ccc(CCCN2CCN(CCCN(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1I 
JJC3-068 	8.36	1	CC(=O)OC(CCN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1 
JJC3-069 	8.17	1	C=CC(=O)OC(CCN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1 
JJC3-070 	7.82	1	O=C(Cc1ccccc1)OC(CCN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1 
JJC3-071 	7.43	1	O=C(CCc1ccccc1)OC(CCN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1 
JJC3-072 	7.28	1	O=C(CCCc1ccccc1)OC(CCN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1 
JJC3-073 	8.25	1	CCC(=O)OC(CCN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1 
JJC3-074 	8.02	1	CC(C)C(=O)OC(CCN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccccc1 
JJC4-020 	8.27	1	O[C@H](Cc1ccccc1)CN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC4-056 	7.66	1	CC(=O)O[C@@H](Cc1ccccc1)CN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC4-057 	8.15	1	O=C(Cc1ccccc1)O[C@@H](Cc1ccccc1)CN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC4-058 	7.82	1	CCC(=O)O[C@@H](Cc1ccccc1)CN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC4-059 	7.47	1	CC(C)C(=O)O[C@@H](Cc1ccccc1)CN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC4-062 	8.48	1	C=CC(=O)O[C@@H](Cc1ccccc1)CN1CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC5-086 	6.03	1	NC(=O)C[S+]([O-])C(c1ccc(Cl)cc1)c1ccc(Cl)cc1 
JJC6-019 	6.71	1	[O-][S+](CCNCCCc1ccccc1)C(c1ccccc1)c1ccccc1 
JJC6-050 	6.22	1	NC(=O)C[S+]([O-])C(c1ccc(Br)cc1)c1ccc(Br)cc1 
JJC7-038 	7.67	1	CC(C)C(N)CN1C2CCC1CC(NC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
JJC7-043 	7.92	1	CN(C)CCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
JJC7-04 	7.84	1	CN(C)CCN1C2CCC1CC(NC(c1ccc(F)cc1)c1ccc(F)cc1)C2 
JJC7-048 	7.87	1	Fc1ccc(C(OC2CC3CCC(C2)N3CCN2CCCCC2)c2ccc(F)cc2)cc1 
JJC7-050 	7.97	1	Fc1ccc(C(NC2CC3CCC(C2)N3CCN2CCCCC2)c2ccc(F)cc2)cc1 
JJC8-074 	8.44	1	c1ccc(CCCN2CCN(CCSC(c3ccccc3)c3ccccc3)CC2)cc1 
JJC8-075 	8.49	1	[O-][S+](CCN1CCN(CCCc2ccccc2)CC1)C(c1ccccc1)c1ccccc1 
JJC8-078 	8.34	1	Fc1ccc(C(SCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1 
JJC8-079 	8.53	1	[O-][S+](CCN1CCN(CCCc2ccccc2)CC1)C(c1ccc(F)cc1)c1ccc(F)cc1 
JJC8-081 	7.32	1	O=C(CSC(c1ccccc1)c1ccccc1)N1CCN(CCCc2ccccc2)CC1 
JJC8-087 	8.17	1	OC(Cc1ccccc1)CN1CCN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC8-089 	7.77	1	CC(O)CN1CCN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC8-092 	7.3	1	CC(O)CN1CCN(CCSC(c2ccccc2)c2ccccc2)CC1 
JJC8-093 	6.19	1	CC(O)CN1CCN(CC[S+]([O-])C(c2ccccc2)c2ccccc2)CC1 
JJC8-095 	8.59	1	OC(Cc1ccccc1)CN1CCN(CCSC(c2ccccc2)c2ccccc2)CC1 
JJC8-096 	8.46	1	[O-][S+](CCN1CCN(CC(O)Cc2ccccc2)CC1)C(c1ccccc1)c1ccccc1 
JJC8-109 	8.13	1	Fc1ccc(C(SCCN2CCN(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1 
JJC8-110 	7.56	1	[O-][S+](CCN1CCN(Cc2ccccc2)CC1)C(c1ccc(F)cc1)c1ccc(F)cc1 
JJC9-006 	8.3	1	Fc1ccc(CN2CCN(CCSC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1 
JJC9-007 	8.01	1	[O-][S+](CCN1CCN(Cc2ccc(F)cc2)CC1)C(c1ccc(F)cc1)c1ccc(F)cc1 
JJC9-008 	7.57	1	Fc1ccc(C(SCCN2CCN(Cc3ccc(C(F)(F)F)cc3)CC2)c2ccc(F)cc2)cc1 
JJC9-009 	7.4	1	[O-][S+](CCN1CCN(Cc2ccc(C(F)(F)F)cc2)CC1)C(c1ccc(F)cc1)c1ccc(F)cc1 
JJC9-010 	7.71	1	Fc1ccc(C(SCCN2CCN(Cc3ccc(Cl)cc3)CC2)c2ccc(F)cc2)cc1 
JJC9-011 	8.11	1	[O-][S+](CCN1CCN(Cc2ccc(Cl)cc2)CC1)C(c1ccc(F)cc1)c1ccc(F)cc1 
JJC9-024 	6.03	1	CC(O)CN1CCN(C(=O)CSC(c2cccc(Cl)c2)c2cccc(Cl)c2)CC1 
JJC9-026 	7.54	1	O=C(CSC(c1ccc(F)cc1)c1ccc(F)cc1)N1CCN(CCCc2ccccc2)CC1 
JJC9-028 	6.66	1	CC(O)CN1CCN(C(=O)CSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC9-029 	6.12	1	CC(O)CN1CCN(C(=O)C[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC9-030 	7.27	1	O=C(CSC(c1ccc(F)cc1)c1ccc(F)cc1)N1CCN(Cc2ccc(F)cc2)CC1 
JJC9-031 	7.23	1	O=C(CSC(c1ccc(F)cc1)c1ccc(F)cc1)N1CCN(Cc2ccc(Cl)cc2)CC1 
JJC9-032 	7.24	1	O=C(C[S+]([O-])C(c1ccc(F)cc1)c1ccc(F)cc1)N1CCN(Cc2ccc(Cl)cc2)CC1 
JJC9-034 	7.12	1	O=C(C[S+]([O-])C(c1ccc(F)cc1)c1ccc(F)cc1)N1CCN(Cc2ccc(F)cc2)CC1 
JJC9-037 	6.55	1	CCCN1CCN(C(=O)CSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC9-038 	6.55	1	CCCN1CCN(C(=O)C[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
JJC9-041 	6.61	1	O=C(CCc1ccccc1)N1CCN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 
MFZ1-117 	6.54	1	Cc1ccc(CCCN2[C@H]3CC[C@@H]2C[C@H](OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1I 
MFZ1-121 	6.21	1	Cc1ccc(CCCN2[C@H]3CC[C@@H]2C[C@H](OC(c2ccc(F)cc2)c2ccc(F)cc2)C3)cc1 
MFZ11-062 	6.05	1	COC(=O)C1C(NC(c2ccc(F)cc2)c2ccc(F)cc2)CC2CCC1N2C 
